site_code,site_project_comm,project_name,community_type,location,Country,Continent,Lat,Long,MAP_mm,plot_size,spatial_extent,succession,lifespan,trophic_level,taxa,ANPP,broad_ecosystem_type,num_plots,temp_C,dataset_length,time_step
KNZ,KNZ_grasshopper_004b,grasshopper,004b,"Konza Prairie Biological Station LTER, Kansas",USA,North America,39.107181,-96.609229,850.646,20,40000,no,annual,consumer,invertebrates,442,herbaceous,10,12.72222222,15,1
KNZ,KNZ_grasshopper_020b,grasshopper,020b,"Konza Prairie Biological Station LTER, Kansas",USA,North America,39.107181,-96.609229,850.646,20,40000,no,annual,consumer,invertebrates,442,herbaceous,10,12.72222222,15,1
KNZ,KNZ_IRG_l,IRG,l,"Konza Prairie Biological Station LTER, Kansas",USA,North America,39.107181,-96.609229,850.646,10,8000,no,longer,primary,plants,442,herbaceous,5,12.72222222,19,1
KNZ,KNZ_IRG_u,IRG,u,"Konza Prairie Biological Station LTER, Kansas",USA,North America,39.107181,-96.609229,850.646,10,8000,no,longer,primary,plants,442,herbaceous,5,12.72222222,19,1
KNZ,KNZ_pplots_0,pplots,0,"Konza Prairie Biological Station LTER, Kansas",USA,North America,39.107181,-96.609229,850.646,1,1200,no,longer,primary,plants,442,herbaceous,6,12.72222222,11,1
KNZ,KNZ_RaMPs_0,RaMPs,0,"Konza Prairie Biological Station LTER, Kansas",USA,North America,39.107181,-96.609229,850.646,4,8000,no,longer,primary,plants,442,herbaceous,6,12.72222222,15,1
LUQ,LUQ_pasture_0,pasture,0,"Luqillo LTER, Puerto Rico",USA,North America,18.321356,-65.819945,3256,10,250,yes,longer,primary,plants,1000,woody,25,22,14,1
LUQ,LUQ_reveg_0,reveg,0,"Luqillo LTER, Puerto Rico",USA,North America,18.321356,-65.819945,3256,10,2400,yes,longer,primary,plants,1000,woody,6,22,20,1
LUQ,LUQ_snails_0,snails,0,"Luqillo LTER, Puerto Rico",USA,North America,18.321356,-65.819945,3256,28.27,160000,yes,longer,consumer,invertebrates,1000,woody,40,22,24,1
maerc,maerc_fireplots_0,fireplots,0,"Macarthur Agro-Ecological Research Center, Florida",USA,North America,27.154917,-81.197698,1135.38,1,8400,no,longer,primary,plants,1365,herbaceous,4,22.83333333,8,1
MISS,MISS_FISH_0,FISH,0,Lake City Minnesota downstream to Bellevue Iowa,USA,North America,43.835338,-91.242489,872.79,7213,2.18E+09,no,longer,consumer,fish,NA,river,6,8.5,23,1
MISS,MISS_PLANTS_0,PLANTS,0,Lake City Minnesota downstream to Bellevue Iowa,USA,North America,43.267554,-91.064937,859.36,674,1.66E+09,no,annual,primary,plants,NA,river,3,8.5,16,1
msh,msh_abraham_grid_0,abraham_grid,0,"Mount Saint Helens, Washington",USA,North America,46.191456,-122.195261,4289.298,250,14400,yes,longer,primary,plants,NA,woody,10,2.944444444,30,1
msh,msh_butte_0,butte,0,"Mount Saint Helens, Washington",USA,North America,46.191456,-122.195261,4289.298,250,14400,yes,longer,primary,plants,NA,woody,15,2.944444444,30,1
msh,msh_pine_0,pine,0,"Mount Saint Helens, Washington",USA,North America,46.191456,-122.195261,4289.298,250,14400,yes,longer,primary,plants,NA,woody,9,2.944444444,30,1
msh,msh_pine_protected_0,pine_protected,0,"Mount Saint Helens, Washington",USA,North America,46.191456,-122.195261,4289.298,250,14400,yes,longer,primary,plants,NA,woody,3,2.944444444,30,1
msh,msh_pumice_0,pumice,0,"Mount Saint Helens, Washington",USA,North America,46.191456,-122.195261,4289.298,250,14400,yes,longer,primary,plants,NA,woody,12,2.944444444,30,1
msh,msh_toutle_0,toutle,0,"Mount Saint Helens, Washington",USA,North America,46.191456,-122.195261,4289.298,250,14400,yes,longer,primary,plants,NA,woody,10,2.944444444,30,1
